trial_id,edge_detection_ms,identity_fusion_ms,policy_reasoning_ms,soar_execution_ms,total_e2e_latency_ms
0,3.640600014477968,0.005499983672052622,1.1021000100299716,0.19580000662244856,4.944000014802441
1,3.0508999770972878,0.002500019036233425,0.05099998088553548,0.13460000627674162,3.2389999832957983
2,2.943800005596131,0.001900014467537403,0.04469999112188816,0.10579999070614576,3.0962000018917024
3,1.7690999957267195,0.002100015990436077,0.03589998232200742,0.10040000779554248,1.9075000018347055
4,1.265900005819276,0.0011999800335615873,0.02880001557059586,0.06319998647086322,1.3590999878942966
5,1.1508000025060028,0.001600012183189392,0.03269998705945909,0.06510000093840063,1.250200002687052
6,1.3128000136930496,0.0014999823179095984,0.03029999788850546,0.07440001354552805,1.4190000074449927
7,1.5567000082228333,0.001800013706088066,0.031199975637719035,0.07239999831654131,1.6620999958831817
8,3.1743000145070255,0.0020999868866056204,0.05900001269765198,0.12549999519251287,3.360900009283796
9,3.0220999906305224,0.001800013706088066,0.04600000102072954,0.10999999358318746,3.1798999989405274
10,1.73940000240691,0.001900014467537403,0.0625999819021672,0.10250002378597856,1.9064000225625932
11,2.00170002062805,0.0018999853637069464,0.052799994591623545,0.11419999646022916,2.1705999970436096
12,2.2530000132974237,0.0023999891709536314,0.07020001066848636,0.155999994603917,2.4816000077407807
13,3.401299996767193,0.0021999876480549574,0.06990000838413835,0.12919999426230788,3.6025999870616943
14,2.9651000222656876,0.0016999838408082724,0.0475000124424696,0.12620000052265823,3.1405000190716237
15,2.7956000121776015,0.0013999815564602613,0.047900015488266945,0.0754999928176403,2.920400002039969
16,1.4775999879930168,0.001700012944638729,0.04569999873638153,0.07330000516958535,1.5983000048436224
17,1.9249999895691872,0.001100008375942707,0.034500000765547156,0.089599983766675,2.050199982477352
18,2.1050999930594116,0.001500011421740055,0.042899977415800095,0.09090002276934683,2.2404000046662986
19,1.805500010959804,0.0012999807950109243,0.04080001963302493,0.0971999834291637,1.9447999948170036
20,2.026100002694875,0.0014999823179095984,0.04370001261122525,0.0968000094871968,2.1681000071112067
21,2.035000012256205,0.0017999846022576094,0.0509000092279166,0.0990999978967011,2.1868000039830804
22,1.8096000130753964,0.0016999838408082724,0.04730001091957092,0.10350000229664147,1.962100010132417
23,1.7094000068027526,0.001700012944638729,0.04349998198449612,0.0934000127017498,1.8480000144336373
24,2.017400023760274,0.0013999815564602613,0.03740002284757793,0.08489997708238661,2.141100005246699
