Protocol,F1 @ tau=0.65,Precision @ 0.65,Recall @ 0.65,FPR (%) @ 0.65,tau*,F1 @ tau*
Random split + pooled scaler (unsound),0.9337,0.9791,0.8924,7.44,0.0945,0.9708
Blocked + purged + train-only scaler,0.9276,0.9785,0.8818,7.78,0.0720,0.9687
